latitude,longitude,date,time,confidence,latitude_clean,longitude_clean
37.36,14.65,2022-09-01,1244,h,37.34,14.59
37.93,13.31,2022-09-01,1244,h,37.72,13.29
39.1,17.09,2022-09-02,1045,h,39.09,16.87
37.86,13.55,2022-09-04,1149,h,37.72,13.29
39.52,8.61,2022-09-05,1130,h,39.34,8.61
37.61,13.89,2022-09-05,1310,h,37.59,13.76
37.61,13.89,2022-09-05,1310,h,37.59,13.76
37.88,13.28,2022-09-05,1310,h,37.59,13.2
37.51,13.76,2022-09-06,1110,h,37.38,13.42
37.53,14.33,2022-09-06,1110,h,37.33,14.03
37.26,14.67,2022-09-06,1251,h,36.98,14.35
37.46,13.54,2022-09-06,1251,h,37.41,13.32
37.53,14.34,2022-09-06,1251,h,37.33,14.03
37.53,14.34,2022-09-06,1251,h,37.33,14.03
40.6,16.5,2022-09-07,1051,h,40.4,16.33
37.85,12.91,2022-09-07,1232,h,37.66,12.81
45.46,10.45,2022-09-09,30,h,45.46,10.45
37.21,14.71,2022-09-11,1117,h,36.98,14.35
37.35,14.49,2022-09-11,1117,h,37.12,14.22
37.5,13.89,2022-09-11,1117,h,37.21,13.54
37.5,13.9,2022-09-11,1117,h,37.21,13.54
37.53,14.38,2022-09-11,1117,h,37.33,14.03
37.55,13.44,2022-09-11,1117,h,37.41,13.32
37.59,13.04,2022-09-11,1117,h,37.59,12.89
37.6,13.95,2022-09-11,1117,h,37.59,13.76
37.78,12.81,2022-09-11,1117,h,37.66,12.81
37.79,12.94,2022-09-11,1117,h,37.66,12.81
37.81,13.51,2022-09-11,1117,h,37.72,13.29
37.81,13.51,2022-09-11,1117,h,37.72,13.29
37.86,13.32,2022-09-11,1117,h,37.72,13.29
37.86,13.32,2022-09-11,1117,h,37.72,13.29
37.3,14.34,2022-09-11,1255,h,36.98,14.04
37.43,13.83,2022-09-11,1255,h,37.15,13.66
37.54,13.32,2022-09-11,1255,h,37.41,13.32
37.54,13.32,2022-09-11,1255,h,37.41,13.32
37.55,13.45,2022-09-11,1255,h,37.41,13.32
37.55,13.45,2022-09-11,1255,h,37.41,13.32
37.85,12.89,2022-09-11,1255,h,37.66,12.81
37.86,13.2,2022-09-11,1255,h,37.59,12.89
37.97,15.8,2022-09-11,1255,h,37.94,15.71
37.98,15.81,2022-09-11,1255,h,37.94,15.71
37.98,15.8,2022-09-11,1255,h,37.94,15.71
45.15,9.94,2022-09-11,1257,h,45.14,9.94
37.55,13.56,2022-09-12,1058,h,37.41,13.32
37.74,14.06,2022-09-12,1058,h,37.59,13.76
37.78,13.55,2022-09-12,1058,h,37.72,13.29
37.79,13.55,2022-09-12,1058,h,37.72,13.29
36.79,14.69,2022-09-12,1238,h,36.79,14.68
41.31,15.42,2022-09-12,1238,h,41.1,15.28
40.4,16.33,2022-09-13,1041,h,40.4,16.33
40.41,16.33,2022-09-13,1041,h,40.4,16.33
41.55,15.89,2022-09-13,1219,h,41.41,15.65
37.95,13.72,2022-09-16,141,h,37.78,13.47
37.81,13.21,2022-09-16,1121,h,37.59,12.89
37.86,13.14,2022-09-16,1121,h,37.66,12.81
37.86,13.14,2022-09-16,1121,h,37.66,12.81
37.86,13.14,2022-09-16,1121,h,37.66,12.81
37.9,13.31,2022-09-16,1121,h,37.72,13.29
37.93,13.13,2022-09-16,1121,h,37.66,12.81
37.94,13.05,2022-09-16,1121,h,37.66,12.81
37.98,12.9,2022-09-16,1121,h,37.66,12.81
38.02,13.34,2022-09-16,1121,h,37.72,13.29
37.16,15.08,2022-09-16,1301,h,36.98,15.08
37.71,13.89,2022-09-16,1301,h,37.59,13.76
37.96,13.4,2022-09-16,1304,h,37.72,13.29
37.96,13.4,2022-09-16,1304,h,37.72,13.29
37.34,15.04,2022-09-17,1104,h,37.25,14.87
37.58,15.03,2022-09-17,1104,h,37.25,14.87
43.99,8.16,2022-09-17,1106,h,43.99,8.16
37.19,14.23,2022-09-17,1244,h,36.98,14.04
37.19,14.24,2022-09-17,1244,h,36.98,14.04
37.45,13.88,2022-09-17,1244,h,37.15,13.66
37.69,13.9,2022-09-17,1244,h,37.59,13.76
38.33,16.42,2022-09-17,1244,h,38.33,16.4
38.34,16.42,2022-09-17,1244,h,38.33,16.4
38.35,16.41,2022-09-17,1244,h,38.33,16.4
38.35,16.4,2022-09-17,1244,h,38.33,16.4
41.99,14.87,2022-09-17,1246,h,41.79,14.87
40.61,18.03,2022-09-18,1045,h,40.28,18.01
40.61,18.03,2022-09-18,1225,h,40.28,18.01
37.44,13.77,2022-09-19,1206,h,37.15,13.66
45.46,10.45,2022-09-20,24,h,45.46,10.45
45.46,10.45,2022-09-20,24,h,45.46,10.45
37.44,13.71,2022-09-20,1149,h,37.15,13.66
40.26,8.56,2022-09-21,1130,h,40.26,8.56
42.41,11.77,2022-09-21,1130,h,42.41,11.77
38.64,16.03,2022-09-22,1110,h,38.64,16.03
39.07,17.0,2022-09-23,1051,h,38.94,16.88
39.07,17.0,2022-09-23,1051,h,38.94,16.88
41.12,15.39,2022-09-23,1051,h,41.1,15.28
44.92,12.01,2022-09-23,1234,h,44.92,12.01
37.71,14.24,2022-10-02,1304,h,37.33,14.03
39.59,9.04,2022-10-02,1304,h,39.59,8.86
37.36,13.51,2022-10-03,1104,h,37.25,13.48
37.73,13.76,2022-10-03,1104,h,37.59,13.76
37.18,14.21,2022-10-03,1244,h,36.98,14.04
37.18,14.22,2022-10-03,1244,h,36.98,14.04
41.43,15.67,2022-10-03,1246,h,41.24,15.55
37.67,13.7,2022-10-05,1206,h,37.59,13.37
45.1,8.71,2022-10-07,1312,h,45.1,8.71
45.15,9.94,2022-10-07,1312,h,45.14,9.94
37.73,13.94,2022-10-08,1110,h,37.59,13.76
