,latitude,longitude,date,time,confidence,latitude_clean,longitude_clean
0,37.36,14.65,2022-09-01,1244,h,37.36,14.65
1,37.93,13.31,2022-09-01,1244,h,37.93,13.31
2,39.1,17.09,2022-09-02,1045,h,39.1,17.09
3,37.86,13.55,2022-09-04,1149,h,37.86,13.55
4,39.52,8.61,2022-09-05,1130,h,39.52,8.61
5,37.61,13.89,2022-09-05,1310,h,37.61,13.89
6,37.61,13.89,2022-09-05,1310,h,37.61,13.89
7,37.88,13.28,2022-09-05,1310,h,37.88,13.28
8,37.51,13.76,2022-09-06,1110,h,37.51,13.76
9,37.53,14.33,2022-09-06,1110,h,37.53,14.33
10,37.26,14.67,2022-09-06,1251,h,37.26,14.67
11,37.46,13.54,2022-09-06,1251,h,37.46,13.54
12,37.53,14.34,2022-09-06,1251,h,37.53,14.34
13,37.53,14.34,2022-09-06,1251,h,37.53,14.34
14,40.6,16.5,2022-09-07,1051,h,40.6,16.5
15,37.85,12.91,2022-09-07,1232,h,37.85,12.91
16,45.46,10.45,2022-09-09,30,h,45.46,10.45
17,37.21,14.71,2022-09-11,1117,h,37.21,14.71
18,37.35,14.49,2022-09-11,1117,h,37.35,14.49
19,37.5,13.89,2022-09-11,1117,h,37.5,13.89
20,37.5,13.9,2022-09-11,1117,h,37.5,13.9
21,37.53,14.38,2022-09-11,1117,h,37.53,14.38
22,37.55,13.44,2022-09-11,1117,h,37.55,13.44
23,37.59,13.04,2022-09-11,1117,h,37.59,13.04
24,37.6,13.95,2022-09-11,1117,h,37.6,13.95
25,37.78,12.81,2022-09-11,1117,h,37.78,12.81
26,37.79,12.94,2022-09-11,1117,h,37.79,12.94
27,37.81,13.51,2022-09-11,1117,h,37.81,13.51
28,37.81,13.51,2022-09-11,1117,h,37.81,13.51
29,37.86,13.32,2022-09-11,1117,h,37.86,13.32
30,37.86,13.32,2022-09-11,1117,h,37.86,13.32
31,37.3,14.34,2022-09-11,1255,h,37.3,14.34
32,37.43,13.83,2022-09-11,1255,h,37.43,13.83
33,37.54,13.32,2022-09-11,1255,h,37.54,13.32
34,37.54,13.32,2022-09-11,1255,h,37.54,13.32
35,37.55,13.45,2022-09-11,1255,h,37.55,13.45
36,37.55,13.45,2022-09-11,1255,h,37.55,13.45
37,37.85,12.89,2022-09-11,1255,h,37.85,12.89
38,37.86,13.2,2022-09-11,1255,h,37.86,13.2
39,37.97,15.8,2022-09-11,1255,h,37.97,15.8
40,37.98,15.81,2022-09-11,1255,h,37.98,15.81
41,37.98,15.8,2022-09-11,1255,h,37.98,15.8
42,45.15,9.94,2022-09-11,1257,h,45.15,9.94
43,37.55,13.56,2022-09-12,1058,h,37.55,13.56
44,37.74,14.06,2022-09-12,1058,h,37.74,14.06
45,37.78,13.55,2022-09-12,1058,h,37.78,13.55
46,37.79,13.55,2022-09-12,1058,h,37.79,13.55
47,36.79,14.69,2022-09-12,1238,h,36.79,14.69
48,41.31,15.42,2022-09-12,1238,h,41.31,15.42
49,40.4,16.33,2022-09-13,1041,h,40.4,16.33
50,40.41,16.33,2022-09-13,1041,h,40.41,16.33
51,41.55,15.89,2022-09-13,1219,h,41.55,15.89
52,37.95,13.72,2022-09-16,141,h,37.95,13.72
53,37.81,13.21,2022-09-16,1121,h,37.81,13.21
54,37.86,13.14,2022-09-16,1121,h,37.86,13.14
55,37.86,13.14,2022-09-16,1121,h,37.86,13.14
56,37.86,13.14,2022-09-16,1121,h,37.86,13.14
57,37.9,13.31,2022-09-16,1121,h,37.9,13.31
58,37.93,13.13,2022-09-16,1121,h,37.93,13.13
59,37.94,13.05,2022-09-16,1121,h,37.94,13.05
60,37.98,12.9,2022-09-16,1121,h,37.98,12.9
61,38.02,13.34,2022-09-16,1121,h,38.02,13.34
62,37.16,15.08,2022-09-16,1301,h,37.16,15.08
63,37.71,13.89,2022-09-16,1301,h,37.71,13.89
64,37.96,13.4,2022-09-16,1304,h,37.96,13.4
65,37.96,13.4,2022-09-16,1304,h,37.96,13.4
66,37.34,15.04,2022-09-17,1104,h,37.34,15.04
67,37.58,15.03,2022-09-17,1104,h,37.58,15.03
68,43.99,8.16,2022-09-17,1106,h,43.99,8.16
69,37.19,14.23,2022-09-17,1244,h,37.19,14.23
70,37.19,14.24,2022-09-17,1244,h,37.19,14.24
71,37.45,13.88,2022-09-17,1244,h,37.45,13.88
72,37.69,13.9,2022-09-17,1244,h,37.69,13.9
73,38.33,16.42,2022-09-17,1244,h,38.33,16.42
74,38.34,16.42,2022-09-17,1244,h,38.34,16.42
75,38.35,16.41,2022-09-17,1244,h,38.35,16.41
76,38.35,16.4,2022-09-17,1244,h,38.35,16.4
77,41.99,14.87,2022-09-17,1246,h,41.99,14.87
78,40.61,18.03,2022-09-18,1045,h,40.61,18.03
79,40.61,18.03,2022-09-18,1225,h,40.61,18.03
80,37.44,13.77,2022-09-19,1206,h,37.44,13.77
81,45.46,10.45,2022-09-20,24,h,45.46,10.45
82,45.46,10.45,2022-09-20,24,h,45.46,10.45
83,37.44,13.71,2022-09-20,1149,h,37.44,13.71
84,40.26,8.56,2022-09-21,1130,h,40.26,8.56
85,42.41,11.77,2022-09-21,1130,h,42.41,11.77
86,38.64,16.03,2022-09-22,1110,h,38.64,16.03
87,39.07,17.0,2022-09-23,1051,h,39.07,17.0
88,39.07,17.0,2022-09-23,1051,h,39.07,17.0
89,41.12,15.39,2022-09-23,1051,h,41.12,15.39
90,44.92,12.01,2022-09-23,1234,h,44.92,12.01
91,37.71,14.24,2022-10-02,1304,h,37.71,14.24
92,39.59,9.04,2022-10-02,1304,h,39.59,9.04
93,37.36,13.51,2022-10-03,1104,h,37.36,13.51
94,37.73,13.76,2022-10-03,1104,h,37.73,13.76
95,37.18,14.21,2022-10-03,1244,h,37.18,14.21
96,37.18,14.22,2022-10-03,1244,h,37.18,14.22
97,41.43,15.67,2022-10-03,1246,h,41.43,15.67
98,37.67,13.7,2022-10-05,1206,h,37.67,13.7
99,45.1,8.71,2022-10-07,1312,h,45.1,8.71
100,45.15,9.94,2022-10-07,1312,h,45.15,9.94
101,37.73,13.94,2022-10-08,1110,h,37.73,13.94
102,37.77,13.84,2022-10-08,1110,h,37.77,13.84
103,37.77,13.84,2022-10-08,1110,h,37.77,13.84
104,38.28,16.21,2022-10-08,1110,h,38.28,16.21
105,37.72,13.71,2022-10-08,1251,h,37.72,13.71
106,37.74,14.0,2022-10-08,1251,h,37.74,14.0
107,37.75,13.96,2022-10-08,1251,h,37.75,13.96
108,38.79,15.21,2022-10-12,154,h,38.79,15.21
109,39.6,9.04,2022-10-18,1304,h,39.6,9.04
110,37.28,14.71,2022-10-19,1244,h,37.28,14.71
111,37.96,15.23,2022-10-24,1251,h,37.96,15.23
112,41.6,15.42,2022-10-24,1253,h,41.6,15.42
113,41.58,15.37,2022-10-25,1051,h,41.58,15.37
114,38.16,15.41,2022-10-28,1134,h,38.16,15.41
115,39.6,9.13,2022-11-03,1304,h,39.6,9.13
116,45.15,9.94,2022-11-07,24,h,45.15,9.94
117,38.79,15.21,2022-11-09,1110,h,38.79,15.21
118,37.44,15.03,2022-11-24,7,h,37.44,15.03
119,37.44,15.03,2022-11-24,147,h,37.44,15.03
120,38.8,15.2,2022-12-05,0,h,38.8,15.2
121,37.75,15.01,2022-12-05,141,h,37.75,15.01
122,37.75,15.01,2022-12-05,141,h,37.75,15.01
123,38.79,15.21,2022-12-05,141,h,38.79,15.21
124,38.8,15.2,2022-12-05,141,h,38.8,15.2
125,38.8,15.2,2022-12-05,141,h,38.8,15.2
126,38.8,15.2,2022-12-05,141,h,38.8,15.2
127,38.8,15.21,2022-12-05,141,h,38.8,15.21
128,38.8,15.21,2022-12-05,141,h,38.8,15.21
129,38.8,15.21,2022-12-06,121,h,38.8,15.21
130,38.8,15.21,2022-12-09,26,h,38.8,15.21
131,38.79,15.21,2022-12-09,206,h,38.79,15.21
132,38.8,15.21,2022-12-09,206,h,38.8,15.21
133,38.8,15.21,2022-12-09,206,h,38.8,15.21
134,38.8,15.21,2022-12-09,206,h,38.8,15.21
135,38.8,15.22,2022-12-16,1255,h,38.8,15.22
136,37.75,15.01,2022-12-20,200,h,37.75,15.01
137,37.75,15.01,2022-12-21,143,h,37.75,15.01
138,37.75,15.03,2022-12-21,1301,h,37.75,15.03
139,37.75,15.02,2022-12-26,7,h,37.75,15.02
140,37.75,15.03,2022-12-26,7,h,37.75,15.03
141,37.75,15.01,2022-12-26,147,h,37.75,15.01
142,38.8,15.21,2022-12-26,147,h,38.8,15.21
143,37.75,15.02,2022-12-26,2348,h,37.75,15.02
144,37.75,15.01,2022-12-26,2348,h,37.75,15.01
145,37.76,15.01,2022-12-26,2348,h,37.76,15.01
146,37.74,15.03,2022-12-31,153,h,37.74,15.03
147,37.75,15.03,2022-12-31,153,h,37.75,15.03
148,37.75,15.01,2022-12-31,153,h,37.75,15.01
149,37.76,15.01,2022-12-31,153,h,37.76,15.01
150,37.75,15.03,2023-01-01,1255,h,37.75,15.03
151,37.76,15.03,2023-01-02,1057,h,37.76,15.03
152,38.8,15.21,2023-01-03,58,h,38.8,15.21
153,37.75,15.03,2023-01-05,200,h,37.75,15.03
154,37.76,15.03,2023-01-06,2,h,37.76,15.03
155,37.76,15.02,2023-01-06,2,h,37.76,15.02
156,37.76,15.02,2023-01-06,2,h,37.76,15.02
157,37.75,15.02,2023-01-13,1051,h,37.75,15.02
158,37.75,15.02,2023-01-16,153,h,37.75,15.02
159,37.75,15.01,2023-01-16,153,h,37.75,15.01
160,37.75,15.02,2023-01-16,153,h,37.75,15.02
161,45.14,9.94,2023-02-05,219,h,45.14,9.94
162,38.89,16.27,2023-02-24,1104,h,38.89,16.27
163,38.9,16.27,2023-02-24,1104,h,38.9,16.27
164,38.79,15.2,2023-02-28,7,h,38.79,15.2
165,38.79,15.21,2023-02-28,147,h,38.79,15.21
166,38.8,15.21,2023-02-28,147,h,38.8,15.21
167,38.79,15.21,2023-03-26,202,h,38.79,15.21
168,38.79,15.21,2023-03-26,202,h,38.79,15.21
169,38.8,15.21,2023-03-26,202,h,38.8,15.21
170,40.8,8.69,2023-03-26,1323,h,40.8,8.69
171,44.28,7.65,2023-04-01,1132,h,44.28,7.65
172,44.28,7.64,2023-04-01,1132,h,44.28,7.64
173,37.94,16.04,2023-04-13,1104,h,37.94,16.04
174,45.15,9.94,2023-04-15,224,h,45.15,9.94
175,38.38,16.19,2023-04-29,1246,h,38.38,16.19
176,44.94,7.51,2023-05-02,1331,h,44.94,7.51
177,37.77,12.55,2023-05-04,1253,h,37.77,12.55
178,37.77,12.55,2023-05-04,1253,h,37.77,12.55
179,45.46,10.46,2023-05-23,33,h,45.46,10.46
180,45.46,10.46,2023-05-25,1259,h,45.46,10.46
181,45.46,10.46,2023-06-08,213,h,45.46,10.46
182,39.08,8.53,2023-06-08,1155,h,39.08,8.53
183,39.41,16.25,2023-06-11,1238,h,39.41,16.25
184,39.08,9.02,2023-06-15,1123,h,39.08,9.02
185,36.98,14.42,2023-06-16,1244,h,36.98,14.42
186,37.39,15.05,2023-06-21,1110,h,37.39,15.05
187,37.39,15.05,2023-06-21,1110,h,37.39,15.05
188,39.54,8.76,2023-06-21,1113,h,39.54,8.76
189,37.01,14.35,2023-06-21,1251,h,37.01,14.35
190,40.98,16.93,2023-06-22,1232,h,40.98,16.93
191,44.94,7.51,2023-06-23,1217,h,44.94,7.51
192,41.77,15.3,2023-06-24,213,h,41.77,15.3
193,44.9,10.49,2023-06-26,1117,h,44.9,10.49
194,37.27,14.38,2023-06-26,1255,h,37.27,14.38
195,37.27,14.39,2023-06-26,1255,h,37.27,14.39
196,37.27,14.38,2023-06-26,1255,h,37.27,14.38
197,40.45,17.39,2023-06-27,1058,h,40.45,17.39
198,37.1,14.2,2023-07-02,1104,h,37.1,14.2
199,41.66,15.46,2023-07-03,1045,h,41.66,15.46
200,37.5,14.8,2023-07-03,1225,h,37.5,14.8
201,37.36,13.48,2023-07-06,1310,h,37.36,13.48
202,36.85,14.76,2023-07-07,1251,h,36.85,14.76
203,40.2,18.21,2023-07-08,1051,h,40.2,18.21
204,41.53,15.86,2023-07-08,1051,h,41.53,15.86
205,41.53,15.86,2023-07-08,1051,h,41.53,15.86
206,41.53,15.86,2023-07-08,1051,h,41.53,15.86
207,41.53,15.86,2023-07-08,1051,h,41.53,15.86
208,37.59,14.0,2023-07-08,1232,h,37.59,14.0
209,45.14,9.94,2023-07-10,213,h,45.14,9.94
210,37.31,14.45,2023-07-12,1117,h,37.31,14.45
211,45.14,9.94,2023-07-12,1117,h,45.14,9.94
212,45.15,9.94,2023-07-12,1117,h,45.15,9.94
213,37.27,14.42,2023-07-12,1255,h,37.27,14.42
214,37.28,14.43,2023-07-12,1255,h,37.28,14.43
215,37.29,14.01,2023-07-12,1255,h,37.29,14.01
216,37.98,12.62,2023-07-12,1257,h,37.98,12.62
217,40.96,16.86,2023-07-12,1257,h,40.96,16.86
218,41.08,16.84,2023-07-12,1257,h,41.08,16.84
219,41.09,16.84,2023-07-12,1257,h,41.09,16.84
220,41.44,15.78,2023-07-12,1257,h,41.44,15.78
221,37.24,14.56,2023-07-13,1058,h,37.24,14.56
222,41.39,15.55,2023-07-13,1058,h,41.39,15.55
223,41.39,15.56,2023-07-13,1240,h,41.39,15.56
224,41.39,15.56,2023-07-13,1240,h,41.39,15.56
225,41.54,15.58,2023-07-13,1240,h,41.54,15.58
226,41.69,15.85,2023-07-13,1240,h,41.69,15.85
227,41.7,15.85,2023-07-13,1240,h,41.7,15.85
228,41.7,15.86,2023-07-13,1240,h,41.7,15.86
229,41.7,15.84,2023-07-13,1240,h,41.7,15.84
230,41.7,15.85,2023-07-13,1240,h,41.7,15.85
231,41.7,15.85,2023-07-13,1240,h,41.7,15.85
232,41.42,15.87,2023-07-14,1219,h,41.42,15.87
233,41.43,15.88,2023-07-14,1219,h,41.43,15.88
234,37.42,14.78,2023-07-15,1200,h,37.42,14.78
235,39.95,18.38,2023-07-16,1142,h,39.95,18.38
236,37.95,12.94,2023-07-17,3,h,37.95,12.94
237,37.94,12.96,2023-07-17,1121,h,37.94,12.96
238,37.95,12.95,2023-07-17,1121,h,37.95,12.95
239,37.95,12.96,2023-07-17,1121,h,37.95,12.96
240,37.95,12.96,2023-07-17,1121,h,37.95,12.96
241,37.95,12.96,2023-07-17,1121,h,37.95,12.96
242,37.95,12.95,2023-07-17,1304,h,37.95,12.95
243,37.95,12.95,2023-07-17,1304,h,37.95,12.95
244,37.18,14.08,2023-07-18,1102,h,37.18,14.08
245,37.25,13.78,2023-07-18,1102,h,37.25,13.78
246,37.25,13.78,2023-07-18,1102,h,37.25,13.78
247,37.41,13.32,2023-07-18,1102,h,37.41,13.32
248,37.54,14.59,2023-07-18,1102,h,37.54,14.59
249,37.54,14.6,2023-07-18,1102,h,37.54,14.6
250,37.6,13.24,2023-07-18,1104,h,37.6,13.24
251,39.09,17.1,2023-07-18,1104,h,39.09,17.1
252,40.01,18.33,2023-07-18,1104,h,40.01,18.33
253,41.33,15.62,2023-07-18,1104,h,41.33,15.62
254,41.42,15.96,2023-07-18,1104,h,41.42,15.96
255,36.98,15.22,2023-07-18,1244,h,36.98,15.22
256,37.05,14.41,2023-07-18,1244,h,37.05,14.41
257,37.08,14.39,2023-07-18,1244,h,37.08,14.39
258,37.08,14.4,2023-07-18,1244,h,37.08,14.4
259,37.17,14.08,2023-07-18,1244,h,37.17,14.08
260,37.2,13.98,2023-07-18,1244,h,37.2,13.98
261,37.2,13.98,2023-07-18,1244,h,37.2,13.98
262,37.22,14.22,2023-07-18,1244,h,37.22,14.22
263,37.24,14.49,2023-07-18,1244,h,37.24,14.49
264,37.24,14.5,2023-07-18,1244,h,37.24,14.5
265,37.24,14.49,2023-07-18,1244,h,37.24,14.49
266,37.24,14.5,2023-07-18,1244,h,37.24,14.5
267,37.24,14.5,2023-07-18,1244,h,37.24,14.5
268,37.24,14.5,2023-07-18,1244,h,37.24,14.5
269,37.25,14.49,2023-07-18,1244,h,37.25,14.49
270,37.25,14.49,2023-07-18,1244,h,37.25,14.49
271,37.25,14.49,2023-07-18,1244,h,37.25,14.49
272,37.25,14.49,2023-07-18,1244,h,37.25,14.49
273,37.25,14.49,2023-07-18,1244,h,37.25,14.49
274,37.6,13.22,2023-07-18,1244,h,37.6,13.22
275,37.6,13.22,2023-07-18,1244,h,37.6,13.22
276,37.89,15.29,2023-07-18,1244,h,37.89,15.29
277,39.92,18.32,2023-07-18,1246,h,39.92,18.32
278,39.92,18.32,2023-07-18,1246,h,39.92,18.32
279,39.99,18.33,2023-07-18,1246,h,39.99,18.33
280,39.99,18.33,2023-07-18,1246,h,39.99,18.33
281,39.99,18.33,2023-07-18,1246,h,39.99,18.33
282,39.99,18.33,2023-07-18,1246,h,39.99,18.33
283,39.99,18.34,2023-07-18,1246,h,39.99,18.34
284,40.0,18.33,2023-07-18,1246,h,40.0,18.33
285,40.0,18.33,2023-07-18,1246,h,40.0,18.33
286,40.01,18.43,2023-07-18,1246,h,40.01,18.43
287,40.12,18.01,2023-07-18,1246,h,40.12,18.01
288,40.12,18.01,2023-07-18,1246,h,40.12,18.01
289,40.39,18.15,2023-07-18,1246,h,40.39,18.15
290,40.61,16.91,2023-07-18,1246,h,40.61,16.91
291,40.61,16.9,2023-07-18,1246,h,40.61,16.9
292,40.84,16.32,2023-07-18,1246,h,40.84,16.32
293,41.64,15.67,2023-07-19,1045,h,41.64,15.67
294,41.64,15.67,2023-07-19,1045,h,41.64,15.67
295,41.42,15.77,2023-07-19,1225,h,41.42,15.77
296,41.64,15.66,2023-07-19,1225,h,41.64,15.66
297,41.64,15.66,2023-07-19,1225,h,41.64,15.66
298,41.64,15.67,2023-07-19,1225,h,41.64,15.67
299,37.15,14.08,2023-07-20,1206,h,37.15,14.08
300,37.15,14.06,2023-07-20,1206,h,37.15,14.06
301,37.25,14.01,2023-07-20,1206,h,37.25,14.01
302,41.07,15.72,2023-07-21,1147,h,41.07,15.72
303,37.31,14.28,2023-07-21,1149,h,37.31,14.28
304,37.72,13.18,2023-07-22,147,h,37.72,13.18
305,37.72,13.18,2023-07-22,147,h,37.72,13.18
306,37.72,13.18,2023-07-22,147,h,37.72,13.18
307,37.97,15.77,2023-07-22,1128,h,37.97,15.77
308,37.97,15.78,2023-07-22,1128,h,37.97,15.78
309,38.09,15.76,2023-07-22,1128,h,38.09,15.76
310,37.19,14.25,2023-07-22,1310,h,37.19,14.25
311,37.19,14.25,2023-07-22,1310,h,37.19,14.25
312,39.57,16.52,2023-07-22,2348,h,39.57,16.52
313,39.57,16.52,2023-07-22,2348,h,39.57,16.52
314,36.88,14.96,2023-07-23,1110,h,36.88,14.96
315,37.16,14.47,2023-07-23,1110,h,37.16,14.47
316,37.17,14.47,2023-07-23,1110,h,37.17,14.47
317,37.32,14.5,2023-07-23,1110,h,37.32,14.5
318,37.32,14.49,2023-07-23,1110,h,37.32,14.49
319,37.32,14.5,2023-07-23,1110,h,37.32,14.5
320,37.34,14.18,2023-07-23,1110,h,37.34,14.18
321,37.35,13.53,2023-07-23,1110,h,37.35,13.53
322,37.36,13.52,2023-07-23,1110,h,37.36,13.52
323,37.36,13.53,2023-07-23,1110,h,37.36,13.53
324,37.42,14.87,2023-07-23,1110,h,37.42,14.87
325,37.42,14.3,2023-07-23,1110,h,37.42,14.3
326,37.43,14.29,2023-07-23,1110,h,37.43,14.29
327,37.83,12.82,2023-07-23,1110,h,37.83,12.82
328,37.83,12.82,2023-07-23,1110,h,37.83,12.82
329,37.86,13.12,2023-07-23,1110,h,37.86,13.12
330,37.95,12.65,2023-07-23,1110,h,37.95,12.65
331,37.96,12.58,2023-07-23,1110,h,37.96,12.58
332,37.96,12.58,2023-07-23,1110,h,37.96,12.58
333,38.06,15.73,2023-07-23,1110,h,38.06,15.73
334,38.06,15.73,2023-07-23,1110,h,38.06,15.73
335,36.88,14.96,2023-07-23,1251,h,36.88,14.96
336,36.88,14.96,2023-07-23,1251,h,36.88,14.96
337,37.23,14.4,2023-07-23,1251,h,37.23,14.4
338,37.27,14.04,2023-07-23,1251,h,37.27,14.04
339,37.32,13.64,2023-07-23,1251,h,37.32,13.64
340,37.33,14.5,2023-07-23,1251,h,37.33,14.5
341,37.33,14.48,2023-07-23,1251,h,37.33,14.48
342,37.34,14.48,2023-07-23,1251,h,37.34,14.48
343,37.38,13.45,2023-07-23,1251,h,37.38,13.45
344,37.39,13.45,2023-07-23,1251,h,37.39,13.45
345,37.42,14.29,2023-07-23,1251,h,37.42,14.29
346,37.42,14.29,2023-07-23,1251,h,37.42,14.29
347,37.42,14.29,2023-07-23,1251,h,37.42,14.29
348,37.42,14.29,2023-07-23,1251,h,37.42,14.29
349,37.43,14.31,2023-07-23,1251,h,37.43,14.31
350,37.49,14.08,2023-07-23,1251,h,37.49,14.08
351,37.67,15.17,2023-07-23,1251,h,37.67,15.17
352,37.85,12.74,2023-07-23,1251,h,37.85,12.74
353,37.92,13.04,2023-07-23,1251,h,37.92,13.04
354,37.93,12.65,2023-07-23,1251,h,37.93,12.65
355,37.95,12.63,2023-07-23,1251,h,37.95,12.63
356,37.95,15.81,2023-07-23,1251,h,37.95,15.81
357,37.96,12.65,2023-07-23,1251,h,37.96,12.65
358,38.06,15.73,2023-07-23,1251,h,38.06,15.73
359,38.06,15.73,2023-07-23,1251,h,38.06,15.73
360,41.0,15.96,2023-07-23,1253,h,41.0,15.96
