latitude,longitude,date,time
44.26,9.76,2023-07-24,1047
38.17,13.13,2023-07-25,0819
41.49,14.04,2023-08-01,0816
41.12,9.53,2023-08-01,0818
41.21,15.34,2023-08-02,0907
42.22,13.96,2023-08-02,1011
44.23,11.77,2023-08-02,1007
38.15,14.96,2023-08-03,0916
43.62,11.49,2023-08-04,1003
37.57,14.28,2023-08-04,1026
40.64,9.72,2023-08-07,0856
37.39,15.08,2023-08-10,0820
37.43,14.48,2023-08-17,1522
42.81,10.41,2023-08-22,0813
41.3,13.6,2023-08-22,0823
44.56,2.22,2023-08-22,0950
36.96,14.53,2023-08-23,1009
39.92,16.11,2023-08-23,1007
42.83,13.33,2023-08-28,1510
40.72,13.88,2023-08-28,1048
37.99,12.51,2023-08-28,1039
38.21,15.51,2023-08-28,0927
40.04,15.31,2023-08-28,0925
41.49,14.04,2023-08-30,1012
37.98,13.68,2023-08-31,1136
40.85,9.46,2023-08-31,1151
38.12,14.75,2023-09-01,1040
41.12,16.7,2023-09-05,0811
37.32,13.55,2023-09-05,0852
38.15,15.51,2023-09-05,0853
37.57,14.91,2023-09-05,0902
40.8,14.39,2023-09-08,0813
37.27,13.63,2023-09-08,0853
41.1,14.14,2023-09-08,0930
40.7,13.92,2023-09-12,0838
42.64,13.85,2023-09-12,0902
40.72,14.94,2023-09-12,0904
40.79,14.37,2023-09-12,0939
43.93,7.88,2023-09-13,1050
41.52,14.67,2023-09-13,0852
40.38,15.38,2023-09-14,0834
43.97,11.1,2023-09-15,0847
42.43,11.11,2023-09-15,0839
42.66,13.26,2023-09-15,0942
38.97,16.43,2023-09-18,1141
39.34,9.35,2023-09-19,1055
40.59,15.69,2023-09-19,1045
40.61,14.41,2023-09-20,1021
43.97,7.95,2023-09-28,0805
39.62,8.96,2023-09-28,0806
38.21,15.5,2024-04-30,0809
36.79,14.71,2024-04-30,0858
39.75,8.6,2024-04-30,0944
40.71,13.89,2024-05-22,1003
38.09,15.46,2024-05-23,0840
39.95,8.64,2024-06-06,0803
